batter,batter_whiff_avg,batter_hardhit_avg,batter_xbh_avg,batter_whiff_max
624413,0.11830887097566355,0.09020622905067885,0.02143353645750723,0.2857142857142857
624415,0.18012489891061317,0.04017717996289425,0.0022727272727272726,1.0
624424,0.10738333364102308,0.08722714327562021,0.013045347489105989,0.16666666666666666
624428,0.09194207398995678,0.03642398788179434,0.018688152397688475,0.17647058823529413
624431,0.08956425030020033,0.10810641088517983,0.040208693081128406,0.46153846153846156
624512,0.1182757507994758,0.08853104962747096,0.024207716001761206,0.25
624513,0.3085714285714286,0.0,0.0,1.0
624585,0.10367055498421544,0.06563261651942576,0.012329637207622892,0.22826086956521738
624641,0.25855018142914565,0.10931094831085901,0.014794076866705808,1.0
628451,0.0599367131376586,0.11173057657758947,0.014181287813310284,0.14
630105,0.08667942830392321,0.07440863842934471,0.015362072228618434,0.2
640492,0.013888888888888888,0.10251322751322751,0.0,0.125
640902,0.08156258615936035,0.07425499231950844,0.009166666666666667,0.16
641302,0.0,0.0,0.0,0.0
641313,0.21143495477354365,0.06386039324549375,0.017663344407530455,0.6
641343,0.11852046256639884,0.07200348407585302,0.013834272796736161,0.3333333333333333
641355,0.0778800777617278,0.13205384047349691,0.02809959668584102,0.16666666666666666
641487,0.07915630237214356,0.09157510909931302,0.029197571620813975,0.3076923076923077
641555,0.0801040100250197,0.0641974938276955,0.015122758280606564,0.1794871794871795
641584,0.11918079394054039,0.051949745895825745,0.016392118266726183,0.3333333333333333
641598,0.2046815895221857,0.10509664486004779,0.02548461490522219,1.0
641645,0.1577056277056277,0.03766233766233766,0.0,0.5
641658,0.10337013993829323,0.04387101884476901,0.03205128205128205,0.5
641680,0.08910808941129679,0.0931021892832164,0.01422365714370896,0.16129032258064516
641856,0.1476190476190476,0.011904761904761904,0.0,0.5
641857,0.19325917482514274,0.06309291169383395,0.013323533128336146,0.3125
641933,0.14897992696683593,0.051711664194955174,0.018059582173866308,0.2602739726027397
641943,0.1425626823267664,0.11504199696903025,0.01132264052432315,0.2727272727272727
642086,0.0855691905082856,0.04863642751100688,0.01696650353075996,0.1875
642133,0.1158291377463825,0.07244874363093935,0.017565016859105484,0.24489795918367346
642136,0.18391610064937944,0.0674878411234565,0.014749780509218612,1.0
642180,0.1057986553637667,0.03930312603471459,0.004150374714890844,0.3
642201,0.12381111938552469,0.07051000802153301,0.014374098252947599,0.25
642215,0.11820770935603471,0.03776693800617245,0.01291141075830071,0.42857142857142855
642350,0.1643041899620847,0.008928571428571428,0.0,0.4
642708,0.1227845790239823,0.08960761005688642,0.017083297285600558,0.375
642715,0.14994864525665444,0.06718351942885782,0.015134260081622596,0.25
642727,0.10185185185185186,0.0,0.0,0.5
642731,0.15060564236944607,0.09503707608002086,0.029941839573741413,0.3333333333333333
642851,0.1584159262748709,0.1393360528715185,0.05357354820577503,0.5
643217,0.13022295398920677,0.10543488551480461,0.014397223194347046,0.5
643289,0.06859581337425562,0.08880361593340587,0.023869872852189132,0.25
643376,0.09499179449195391,0.08063342171021122,0.01395761543360317,0.19047619047619047
643396,0.08275729264946495,0.0516127397124468,0.009116569675273795,0.23333333333333334
643446,0.052102640124514016,0.058607865771336004,0.015113393284977385,0.14035087719298245
643565,0.18033278810591716,0.053586004743349645,0.017206546993713438,1.0
644433,0.15668276972624798,0.09052603327965647,0.046296296296296294,0.5
645277,0.10275396631594051,0.06862619649439952,0.016575702321408158,0.18064516129032257
645302,0.27530612244897956,0.06238095238095238,0.023809523809523808,1.0
645305,0.10723905723905723,0.070326278659612,0.0205026455026455,0.25
645444,0.08212314888706736,0.038011983214370985,0.003075871496924128,0.2857142857142857
646240,0.1296199166176644,0.09462849402196533,0.023748715232615156,0.2777777777777778
647304,0.11403755770725156,0.09129312838640168,0.03564026764233093,0.23809523809523808
647351,0.09227979622716465,0.1109134087602987,0.02088050174174576,0.18045112781954886
649966,0.04452271594279487,0.10291154845012844,0.013372259824725034,0.14285714285714285
650333,0.025990087713404983,0.039915274845033336,0.013600617900500616,0.07692307692307693
650402,0.061263910251924035,0.04983800293738296,0.009278296342486114,0.14285714285714285
650489,0.13649595415054624,0.077212686822147,0.013627716063372337,0.24812030075187969
650490,0.09607718529524285,0.12473621279612167,0.022302354913259895,0.3
650559,0.136431145203075,0.21466699858512722,0.004115226337448559,0.42857142857142855
650859,0.10317013120358336,0.08520014207131786,0.011443339595532166,0.1743119266055046
650968,0.11101569246891597,0.13210623922795406,0.03996261457457002,0.25
655316,0.13658899191860652,0.050115505972503936,0.018726053639846744,0.5
656180,0.16228303535123564,0.06009727845921185,0.012221603046345314,0.22033898305084745
656248,0.16022989726661654,0.04271476778769161,0.007289204097714736,0.42857142857142855
656305,0.09047076554974595,0.10300406805293906,0.025520313989194295,0.22727272727272727
656413,0.1613892812168674,0.06012088167260581,0.02805843581705651,0.3
656484,0.21428571428571427,0.16575091575091574,0.0,0.5
656537,0.19564492845241507,0.06006890317050745,0.01427290178627077,0.3333333333333333
656541,0.1711865164934492,0.10253359462486002,0.022199387491940684,1.0
656555,0.09574283511988275,0.06359519260695931,0.01092653475338843,0.1513157894736842
656577,0.1626266317428312,0.09014018351624145,0.06802974269214965,0.2631578947368421
656582,0.09505303895067957,0.05865464967019987,0.006232707150138342,0.21875
656716,0.09843692540283033,0.04050092168077721,0.0479661578566893,0.21739130434782608
656775,0.08786592349210945,0.06215605677655014,0.047130887031266534,0.24074074074074073
656811,0.0981829597624749,0.09793930062245879,0.020735680286862693,0.215962441314554
