pitcher,balls,strikes,count_prior_0,count_prior_1,count_prior_2,count_prior_3,count_prior_4,count_prior_5,count_prior_6,count_prior_7,count_prior_8,count_prior_9,count_prior_10
642397,1,2,0.12884092594118132,0.35818436444517676,0.43504407282313207,0.0,0.05988961199439822,0.0,0.0,0.018041024796111707,0.0,0.0,0.0
642397,2,0,0.06411367180731242,0.44307745624675104,0.466816842834864,0.0,0.022526425229596258,0.0,0.0,0.0034656038814763475,0.0,0.0,0.0
642397,2,1,0.07148241206030151,0.5712311557788945,0.3134422110552764,0.0,0.04133165829145728,0.0,0.0,0.002512562814070352,0.0,0.0,0.0
642397,2,2,0.114321608040201,0.3974874371859297,0.4422948073701843,0.0,0.04422110552763819,0.0,0.0,0.0016750418760469012,0.0,0.0,0.0
642397,3,0,0.08083897749617654,0.5586628796154687,0.32772558444395894,0.0,0.02840288398514311,0.0,0.0,0.004369674459252786,0.0,0.0,0.0
642397,3,1,0.10211773151471644,0.5660445082555635,0.3049174443646806,0.0,0.023330940416367553,0.0,0.0,0.0035893754486719313,0.0,0.0,0.0
642397,3,2,0.07876115270228694,0.5683519639011384,0.33750384575940934,0.0,0.01333196595221003,0.0,0.0,0.002051071684955389,0.0,0.0,0.0
642520,0,0,0.36828644501278773,0.11892583120204604,0.24552429667519182,0.13171355498721227,0.0,0.0,0.13554987212276215,0.0,0.0,0.0,0.0
642520,0,1,0.31561996779388085,0.1497584541062802,0.23510466988727857,0.16586151368760063,0.0,0.0,0.13365539452495975,0.0,0.0,0.0,0.0
642520,0,2,0.34189723320158105,0.1383399209486166,0.1976284584980237,0.2035573122529644,0.0,0.0,0.11857707509881422,0.0,0.0,0.0,0.0
642520,1,0,0.3277591973244147,0.23244147157190637,0.16722408026755853,0.17224080267558525,0.0,0.0,0.10033444816053512,0.0,0.0,0.0,0.0
642520,1,1,0.2785829307568438,0.11272141706924316,0.23510466988727857,0.20289855072463767,0.0,0.0,0.1706924315619968,0.0,0.0,0.0,0.0
642520,1,2,0.28355387523629494,0.17580340264650285,0.23251417769376181,0.15122873345935728,0.0,0.0,0.15689981096408318,0.0,0.0,0.0,0.0
642520,2,0,0.31055900621118016,0.14492753623188406,0.20703933747412007,0.21325051759834365,0.0,0.0,0.12422360248447205,0.0,0.0,0.0,0.0
642520,2,1,0.3270321361058601,0.13232514177693763,0.23251417769376181,0.19470699432892247,0.0,0.0,0.11342155009451796,0.0,0.0,0.0,0.0
642520,2,2,0.31055900621118016,0.19254658385093168,0.20703933747412007,0.16563146997929606,0.0,0.0,0.12422360248447205,0.0,0.0,0.0,0.0
642520,3,1,0.35817805383022777,0.14492753623188406,0.20703933747412007,0.16563146997929606,0.0,0.0,0.12422360248447205,0.0,0.0,0.0,0.0
642520,3,2,0.35817805383022777,0.14492753623188406,0.20703933747412007,0.16563146997929606,0.0,0.0,0.12422360248447205,0.0,0.0,0.0,0.0
642528,0,0,0.017748462543415226,0.6241277124557881,0.0,0.07172673103272473,0.0,0.03731319504190167,0.24908389892617017,0.0,0.0,0.0,0.0
642528,0,1,0.04241688910458626,0.5044406697403543,0.0,0.23232225188061148,0.0,0.04144625090997331,0.17937393836447466,0.0,0.0,0.0,0.0
642528,0,2,0.03904661759551349,0.43974763406940065,0.0,0.2022432527164388,0.0,0.037644584647739225,0.2813179109709078,0.0,0.0,0.0,0.0
642528,1,0,0.03585913860812464,0.6079315006759802,0.0,0.20614176269877035,0.0,0.014163394064250306,0.13590420395287453,0.0,0.0,0.0,0.0
642528,1,1,0.05202071305279447,0.3733706327004345,0.0,0.32265936551395746,0.0,0.0319623831914767,0.21998690554133682,0.0,0.0,0.0,0.0
642528,1,2,0.0366062039957939,0.45393007360672977,0.0,0.2729363827549947,0.0,0.05612513144058886,0.18040220820189276,0.0,0.0,0.0,0.0
642528,2,0,0.02804065895548545,0.5847645753008529,0.0,0.18892393971258326,0.0,0.0627409744128987,0.13552985161817968,0.0,0.0,0.0,0.0
642528,2,1,0.01992362609995019,0.6786485140295534,0.0,0.18686700979578283,0.0,0.018263323924954344,0.09629752614975925,0.0,0.0,0.0,0.0
642528,2,2,0.04086273934414203,0.5067126403051867,0.0,0.304673171447436,0.0,0.016139681608099185,0.1316117672951361,0.0,0.0,0.0,0.0
642528,3,0,0.03441353599082306,0.5813019787783195,0.0,0.1864066532836249,0.0,0.031545741324921134,0.16633209062231144,0.0,0.0,0.0,0.0
642528,3,1,0.026106820406831283,0.647884259762863,0.0,0.14141194387033612,0.0,0.023931252039595344,0.1606657239203742,0.0,0.0,0.0,0.0
642528,3,2,0.09633584081533608,0.5074011162339238,0.0,0.23335759928819863,0.0,0.04343605920892987,0.11946938445361159,0.0,0.0,0.0,0.0
642547,0,0,0.5592657780340331,0.0,0.10044153459825661,0.20181241607428707,0.002146980950285632,0.0,0.13584016751003314,0.0,0.0,0.0,0.0004931228331044738
